Id,Date,Open,High,Low,Close,Shares Traded,Turnover
232,23-Feb-24,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01
233,26-Feb-24,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26
234,27-Feb-24,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71
235,28-Feb-24,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8
236,29-Feb-24,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12
237,01-Mar-24,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47
238,02-Mar-24,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77
239,04-Mar-24,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71
240,05-Mar-24,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37
241,06-Mar-24,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01
242,07-Mar-24,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46
243,11-Mar-24,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37
244,12-Mar-24,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12
245,13-Mar-24,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23
246,14-Mar-24,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3
247,15-Mar-24,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88
